"Timestamp","What type of elevator project did Horizon Elevators complete for you?"," How responsive has Horizon Elevators been to your inquiries or concerns?"," How well did Horizon Elevators keep you informed throughout the process (sales, installation, etc.)?","Compared to other elevator companies; did Horizon Elevators offer competitive pricing?","How satisfied are you with the Annual Maintenance Contract (AMC) service provided by Horizon Elevators?"," How professional and efficient was the installation process conducted by Horizon Elevators?","How satisfied are you with the overall quality, reliability, and safety of Horizon Elevators' installations (if applicable) or maintenance services?","Would you recommend Horizon Elevators to others looking for elevator installation or maintenance services?"," Would you like to leave any additional comments about your experience with Horizon Elevators?"
"2024/05/27 11:14:50 am GMT+5:30","New elevator Installation","Very responsive","Very well informed","Competitive","Very Satisfied","Very professional and efficient","Very satisfied","Definitely recommend","No"
"2024/05/27 11:16:58 am GMT+5:30","New elevator Installation","Very responsive","Very well informed","Competitive","Very Satisfied","Very professional and efficient","Very satisfied","Definitely recommend","No"
"2024/05/29 11:19:42 am GMT+5:30","Elevator Maintenance","Somewhat responsive","Very well informed","Non-competitive","Dissatisfied","Somewhat professional","Somewhat satisfied","Might recommend with reservations",""
"2024/05/29 11:19:56 am GMT+5:30","Elevator Maintenance","Unresponsive","Poor communication","Non-competitive","Very Dissatisfied","Unprofessional","Dissatisfied","Would not recommend",""
"2024/05/29 11:20:12 am GMT+5:30","Elevator Modernization","Somewhat responsive","Somewhat informed","Non-competitive","Neutral","Somewhat professional","Somewhat satisfied","Might recommend with reservations",""
"2024/05/31 3:19:11 pm GMT+5:30","Elevator Modernization","Somewhat responsive","Somewhat informed","Competitive","Very Satisfied","Very professional and efficient","Very satisfied","Definitely recommend","Too good"
"2024/05/31 3:19:33 pm GMT+5:30","Elevator Modernization","Very responsive","Somewhat informed","Competitive","Very Satisfied","Very professional and efficient","Somewhat satisfied","Might recommend with reservations",""
"2024/05/31 3:19:36 pm GMT+5:30","Elevator Modernization","Very responsive","Somewhat informed","Competitive","Very Satisfied","Very professional and efficient","Somewhat satisfied","Definitely recommend",""
"2024/05/31 3:19:50 pm GMT+5:30","Elevator Modernization","Very responsive","Somewhat informed","Non-competitive","Dissatisfied","Somewhat professional","Very satisfied","Definitely recommend",""
"2024/05/31 3:21:30 pm GMT+5:30","Elevator Modernization","Very responsive","Very well informed","Competitive","Satisfied","Very professional and efficient","Somewhat satisfied","Definitely recommend",""
"2024/05/31 3:21:53 pm GMT+5:30","New elevator Installation","Unresponsive","Poor communication","Non-competitive","Very Dissatisfied","Unprofessional","Dissatisfied","Would not recommend",""
"2024/05/31 3:22:02 pm GMT+5:30","Elevator Modernization","Unresponsive","Very well informed","Non-competitive","Dissatisfied","Very professional and efficient","Somewhat satisfied","Definitely recommend",""
"2024/05/31 3:22:17 pm GMT+5:30","Elevator Maintenance","Unresponsive","Somewhat informed","Competitive","Satisfied","Very professional and efficient","Somewhat satisfied","Might recommend with reservations",""
"2024/05/31 3:22:33 pm GMT+5:30","Elevator Modernization","Very responsive","Somewhat informed","Non-competitive","Satisfied","Somewhat professional","Very satisfied","Definitely recommend",""
"2024/05/31 3:22:47 pm GMT+5:30","New elevator Installation","Somewhat responsive","Very well informed","Non-competitive","Satisfied","Somewhat professional","Very satisfied","Definitely recommend",""
"2024/05/31 3:23:13 pm GMT+5:30","New elevator Installation","Somewhat responsive","Somewhat informed","Competitive","Dissatisfied","Somewhat professional","Very satisfied","Definitely recommend",""
"2024/05/31 3:23:13 pm GMT+5:30","New elevator Installation","Somewhat responsive","Somewhat informed","Competitive","Neutral","Very professional and efficient","Somewhat satisfied","Definitely recommend",""
"2024/05/31 4:06:07 pm GMT+5:30","New elevator Installation","Very responsive","Very well informed","Competitive","Satisfied","Very professional and efficient","Very satisfied","Definitely recommend",""
